artist,url,life,artworks
David Bates,/en/david-bates,1840 - 1921,36
Walter Battiss,/en/walter-battiss,1906 - 1982,154
Andre Bauchant,/en/andre-bauchant,1873 - 1958,26
John Bauer,/en/john-bauer,1882 - 1918,52
Rudolf Bauer,/en/rudolf-bauer,1889 - 1953,13
Willi Baumeister,/en/willi-baumeister,1889 - 1955,83
Lothar Baumgarten,/en/lothar-baumgarten,born 1944,10
Iain Baxter&,/en/iain-baxter,born 1936,10
Francisco Bayeu y Subias,/en/francisco-bayeu-y-subias,1734 - 1795,16
Jean Rene Bazaine,/en/jean-rene-bazaine,1904 - 2001,31
Frederic Bazille,/en/frederic-bazille,1841 - 1870,48
William Baziotes,/en/william-baziotes,1912 - 1963,34
Achraf Baznani,/en/achraf-baznani,born 1979,20
Mary Beale,/en/mary-beale,1633 - 1699,27
William Holbrook Beard,/en/william-holbrook-beard,1824 - 1900,35
Romare Bearden,/en/romare-bearden,1911 - 1988,41
Aubrey Beardsley,/en/aubrey-beardsley,1872 - 1898,239
Basil Beattie,/en/basil-beattie,born 1935,20
Max Beckmann,/en/max-beckmann,1884 - 1950,69
Osias Beert,/en/osias-beert,c.1580 - 1624,12
Albrecht Behmel,/en/albrecht-behmel,born 1971,16
Hossein Behzad,/en/hossein-behzad,1894 - 1968,58
Xu Beihong,/en/xu-beihong,1895 - 1953,97
Ara Bekaryan,/en/ara-bekaryan,c.1913 - c.1986,3
Zdzislaw Beksinski,/en/zdislav-beksinski,1929 - 2005,707
Lorenzo Belenguer,/en/lorenzo-belenguer,born 1970,4
Charles Bell,/en/charles-bell,1935 - 1995,44
Graham Bell,/en/graham-bell,1910 - 1943,10
Larry Bell,/en/larry-bell,born 1939,47
Vanessa Bell,/en/vanessa-bell,1879 - 1961,26
Michael Bell,/en/michael-bell,born 1971,9
Giovanni Bellini,/en/giovanni-bellini,c.1430 - 1516,89
Jacopo Bellini,/en/jacopo-bellini,c.1400 - c.1470,39
Hans Bellmer,/en/hans-bellmer,1902 - 1975,121
Bernardo Bellotto,/en/bernardo-bellotto,c.1721 - 1780,100
George Bellows,/en/george-bellows,1882 - 1925,28
Kent Bellows,/en/kent-bellows,1949 - 2005,10
Ben,/en/ben,born 1935,24
Barton Lidice Benes,/en/barton-lidice-benes,1942 - 2012,17
Lynda Benglis,/en/lynda-benglis,born 1941,15
Karl Benjamin,/en/karl-benjamin,1925 - 2012,15
Benjamin Constant,/en/benjamin-constant,1845 - 1902,62
Albert Benois,/en/albert-benua,1852 - 1936,17
Alexandre Benois,/en/alexandre-benois,1870 - 1960,77
Marie-Guillemine Benoist,/en/marie-guillemine-benoist,1768 - 1826,12
Jean Benoit,/en/jean-benoit,1922 - 2010,18
Frank W. Benson,/en/frank-w-benson,1862 - 1951,103
Thomas Hart Benton,/en/thomas-hart-benton,1889 - 1975,24
Jean Béraud,/en/jean-beraud,1849 - 1935,17
Leon Berkowitz,/en/leon-berkowitz,1911 - 1987,31
Henryk Berlewi,/en/henryk-berlewi,1894 - 1967,12
Eduardo Berliner,/en/eduardo-berliner,born 1978,6
Bartolome Bermejo,/en/bartolome-bermejo,c.1440 - c.1501,13
Emile Bernard,/en/emile-bernard,1868 - 1941,17
Bernd Luz,/en/bernd-luz,born 1966,13
Horia Bernea,/en/horia-bernea,1938 - 2000,46
Antonio Berni,/en/antonio-berni,1905 - 1981,18
Gian Lorenzo Bernini,/en/gian-lorenzo-bernini,1598 - 1680,56
Jean Bertholle,/en/jean-bertholle,1909 - 1996,12
Rene Bertholo,/en/rene-bertholo,1935 - 2005,22
Huguette Arthur Bertrand,/en/huguette-arthur-bertrand,1920 - 2005,17
Paul-Albert Besnard,/en/paul-albert-besnard,1849 - 1934,94
